1 input_13_2_1 Attacking three targets.asc  Jan 22 2018 17:05:25
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
-1.20949        1.42005         0.199163        0.199163        1.42005         
21.6961         -6.21738        2               0               0               
0.000106695     0.0212281       0.0924157       0               0               
0               0               34342           0               0               
100             3               1               
78.5            0               1.23371         55894.3         -3.39776        
19.9199         -0.0355922      28.4028         -33.2846        -0.0651967      
1.19866         -126.939        -0.720357       -0.957962       0.221739        
-1.43378        0.270421        28842.4         7753.17         -4906.38        
403.458         4906.38         30.5039         -32.0535        -0.169447       
0.221062        1110            0               250.005         0.675059        
0               0               4.76151         0.0571042       2.68408         
3               0               -0.00668971     0.0017017       -0.186412       
0.049192        0.193124        2.88636         0               0.000142988     
-0.0065633      -0.0818872      0.0210251       -0.828864       -1.65555e-006   
-5.93742e-007   1.1119e-006     -0.0027935      -0.00157756     -0.00383647     
0.0423661       -0.305134       -0.0297961      1.87059         -11.1625        
3.025           -2.89686        0.77986         2.49621         -9.27241        
2.81503         -10.9223        2               0               0               
-7.21396e-005   0.415957        -0.502488       0               0               
0               0               6881.37         0               0               
100             3               1               
95.919          2               1.14628         83602           -1.89276        
0.661114        0.0977717       33.5656         -45.2056        0.40047         
3.02981         13.165          2.95049         0.689789        -0.749965       
1.23178         -2.71478        32999.7         10479.8         -99.9667        
390.951         99.9667         34.9208         -48.2739        1.05897         
-0.250569       1110            0               250.005         0.742748        
0               0               6.35025         0.0703786       1.72587         
3               0               0.00814379      -0.0259489      0               
0               0.0565559       -3.05208        0               0.0265084       
0.0062808       0               0               -2.70736        3.04356e-006    
-1.73207e-006   -1.05079e-006   -0.00576441     0.0030752       0.00364305      
0.0324537       -0.351616       -0.100575       2.78056         -16.8171        
1.78818         0.653179        -0.00489524     -0.00489524     0.653179        
2.81503         -10.9223        2               0               0               
-0.00434441     -1.57907        0.685486        0.379587        -0.3069         
0.22338         0               0.372095        0               0               
100             3               1               
3.002           0               0.936229        25162.8         -2.47793        
23.3868         -8.82445e-005   -4.82135        -5.61214        0.00752768      
0.313137        93.7324         -0.020305       0.31126         -0.0101545      
-1.90036        0.0454574       873.979         1.57872         -6957.31        
290.554         6957.31         0.0773232       -5.65684        -0.00179557     
-0.0254949      1360            11145.7         0.00242707      0.530762        
0               0               2.72703         0.0496665       2.23693         
2.26519         0               0               0               0               
0               0               0               0               0               
0               0               0               -4.82298        6.85658e-006    
5.79429e-006    1.91612e-007    -0.00327396     -0.0030684      0.00509422      
-0.0663267      -0.0105853      0.0200318       -2.72695        -4.93979        
9.30607         1.4184          0.202006        0.202006        1.4184          
21.9052         -6.28147        2               0               0               
0.000128945     0.0164413       0.0903716       0               0               
0               0               34342           0               0               
100             4               1               
78.581          0               1.2335          55716.2         -3.15094        
19.7835         -0.220327       28.5483         -33.3155        -0.0241386      
1.24536         -126.599        -0.741539       -0.99838        0.231316        
-1.54424        0.317117        28854           7778.26         -4930.02        
403.33          4930.02         30.6103         -32.0561        -0.173738       
0.229747        1110            0               250.005         0.676416        
0               0               4.7631          0.0570116       2.67281         
3               0               -0.00699943     0.00147009      -0.190755       
0.0450061       0.195345        2.91288         0               0.000102287     
-0.00772854     -0.0836828      0.019393        -4.72258        7.25216e-006    
5.92758e-006    -2.41121e-007   -0.00713387     -0.00323754     0.00332083      
0.192759        -0.552432       0.435029        9.40915         -27.7879        
33.1886         -2.9156         0.706578        2.29958         -9.48894        
2.87803         -11.0952        2               0               0               
6.16946e-006    0.43638         -0.5258         0               0               
0               0               6881.47         0               0               
100             4               1               
96.001          2               1.14748         83777.2         -1.91001        
0.656837        0.109466        33.5869         -45.8225        0.395772        
2.84202         10.2534         2.79684         0.50571         -0.563653       
1.02397         -2.41653        32999.8         10480.3         -99.9029        
391.361         99.9029         34.6787         -48.7394        0.997597        
-0.176642       1110            0               250.005         0.739413        
0               0               6.32666         0.0704331       1.80956         
3               0               0.00604307      -0.0241693      0               
0               0.0541989       -3.00365        0               0.0247617       
0.00229277      0               0               -2.22178        6.47323e-006    
4.20625e-006    -1.20892e-006   -0.00739401     -0.00299392     0.00765584      
0.143201        -0.705283       0.360043        12.1141         -38.372         
39.926          0.647309        -0.00397779     -0.00397779     0.647309        
2.87803         -11.0952        2               0               0               
-0.00389953     -1.49791        0.559855        0.337419        -0.262475       
0.212034        0               0.33683         0               0               
100             4               1               
3.002           0               0.936234        25163.2         -2.48629        
23.2917         0.00862251      -4.83196        -5.62646        -0              
0.321286        95.2325         -0.0291583      0.318389        -0.0111608      
-1.90288        0.042674        873.976         1.55659         -6957.27        
290.554         6957.27         0.0738553       -5.66232        -0.00262116     
-0.0260447      1360            11145.7         0.00242707      0.530812        
0               0               2.7275          0.0496665       2.23623         
2.26522         0               0               0               0               
0               0               0               0               0               
0               0               0               7.97948         -1.08564e-005   
-5.12523e-006   4.08138e-006    -0.00042205     0.00351106      -0.00514067     
-0.0398385      0.0315122       0.0707469       2.10996         1.11551         
-0.000977999    1.41901         0.198247        0.198247        1.41901         
21.7897         -6.31577        2               0               0               
0.000102749     0.022079        0.0941613       0               0               
0               0               34342           0               0               
100             5               1               
78.447          0               1.23341         55982.2         -3.40597        
19.8689         -0.0340905      28.1949         -33.122         -0.143208       
1.13623         -125.987        -0.667529       -0.91911        0.240264        
-1.48673        0.360124        28845.5         7716.59         -4889.22        
403.383         4889.22         30.3351         -31.9532        -0.156922       
0.212065        1110            0               250.005         0.673422        
0               0               4.75381         0.0571922       2.70005         
3               0               -0.00689851     0.00183874      -0.187065       
0.0557533       0.195056        2.85597         0               -3.28911e-005   
-0.00737395     -0.0804976      0.0248411       7.70996         -1.05336e-005   
-6.25618e-006   5.2743e-006     -0.000996382    0.00143915      -0.00413325     
-0.250475       0.368539        -0.463359       -11.5784        12.427          
-21.9528        -2.85356        0.92586         2.95139         -9.09638        
3.38858         -11.3384        2               0               0               
0.000164904     0.396791        -0.483719       0               0               
0               0               6881.55         0               0               
100             5               1               
95.876          2               1.14535         83467.7         -1.88686        
0.642639        0.104565        34.7963         -45.1673        0.231673        
2.80444         9.38873         2.76707         0.457338        -0.531839       
0.77589         -2.52611        32999.9         10479.7         -99.7725        
390.647         99.7725         35.8149         -48.0482        0.98401         
-0.156315       1110            0               250.005         0.739713        
0               0               6.31585         0.0704544       1.8305          
3               0               0.00473563      -0.024606       0               
0               0.0557803       -2.97111        0               0.0250374       
0.000636348     0               0               7.64186         1.39283e-006    
9.59208e-007    8.87305e-006    -0.0010744      0.00331677      -0.00981668     
-0.336669       0.57778         -0.479191       -16.4953        20.5727         
-29.8269        0.654725        -0.00402013     -0.00402013     0.654725        
3.38858         -11.3384        2               0               0               
-0.00413049     -1.46303        0.53054         0.348599        -0.256039       
0.23657         0               0.429017        0               0               
100             5               1               
3.002           0               0.936232        25163           -2.49001        
23.2477         0.0111767       -4.82998        -5.62044        -0.00797003     
0.319672        94.6064         -0.0254802      0.316247        -0.010308       
-1.8998         0.0661211       873.977         1.55664         -6957.29        
290.553         6957.29         0.0736415       -5.65992        -0.00222941     
-0.0255045      1360            11145.7         0.00242707      0.530802        
0               0               2.7274          0.0496664       2.23636         
2.26521         0               0               0               0               
0               0               0               0               0               
0               0               0               -0.72172        -2.72631e-006   
-1.84408e-006   -5.17687e-006   0.00098707      0.00307974      -0.000770851    
-0.0656372      0.00700724      -0.11769        -4.97634        4.29841         
1.2             1.41855         0.200464        0.200464        1.41855         
21.7519         -6.28859        2               0               0               
0.000121625     0.0217045       0.108664        0               0               
0               0               34342           0               0               
100             6               1               
78.495          0               1.23348         55954.1         -3.50406        
19.9703         0.0452275       28.296          -33.3389        -0.132052       
1.22911         -128.346        -0.762395       -0.963659       0.212634        
-1.49064        0.388618        28859.7         7704.7          -4894.35        
403.394         4894.35         30.3873         -32.0711        -0.178985       
0.222369        1110            0               250.005         0.675984        
0               0               4.77028         0.0571177       2.6757          
3               0               -0.006792       0.00190602      -0.183907       
0.057333        0.19142         2.84293         0               0.00019657      
-0.00847267     -0.0801351      0.0250754       -8.1164         -4.27045e-006   
-1.91356e-006   -4.21452e-006   0.0024495       0.0038372       -0.00104102     
-0.0482794      0.665166        -0.0395213      -9.00688        30.6584         
-6.16582        -2.84944        0.938465        2.97923         -9.04577        
3.38443         -11.0002        2               0               0               
0.000334239     0.43911         -0.517042       0               0               
0               0               6881.3          0               0               
100             6               1               
95.918          2               1.14571         83520.8         -1.23269        
0.868797        -0.493941       34.6999         -45.0473        0.337072        
2.97862         12.8132         2.90282         0.659892        -0.759437       
1.27863         -2.77298        32999.8         10479.9         -99.7421        
390.774         99.7421         36.0135         -48.0638        1.03919         
-0.238838       1110            0               250.005         0.741822        
0               0               6.33753         0.0704036       1.7503          
3               0               0.00900459      -0.0278774      0               
0               0.0551524       -3.02241        0               0.0286708       
0.00505833      0               0               -5.68467        -1.43487e-005   
2.81079e-006    5.13261e-006    0.00551446      0.00450688      -0.00426176     
-0.0698705      0.845909        -0.0084338      -9.97997        43.4282         
-6.56989        0.656354        -0.0050402      -0.0050402      0.656354        
3.38443         -11.0002        2               0               0               
-0.00455844     -1.55735        0.659606        0.412627        -0.344839       
0.2266          0               0.4688          0               0               
100             6               1               
3.002           0               0.936231        25163           -2.46774        
23.5051         -0.00885212     -4.82952        -5.61665        0               
0.317921        94.2137         -0.0232046      0.314952        -0.00967157     
-1.90248        0.0366736       873.977         1.54979         -6957.3         
290.553         6957.3          0.0728329       -5.65848        -0.00206893     
-0.025759       1360            11145.7         0.00242707      0.530791        
0               0               2.7273          0.0496664       2.23651         
2.2652          0               0               0               0               
0               0               0               0               0               
0               0               0               11.8431         -3.39807e-006   
-1.73512e-006   -4.09708e-006   0.00107216      0.00466659      0.00190845      
-0.0493208      0.0157701       -0.00553484     -4.6995         -1.5202         
5.6208          1.418           0.199276        0.199276        1.418           
21.785          -6.36003        2               0               0               
0.000113669     0.0184076       0.0951764       0               0               
0               0               34342           0               0               
100             7               1               
78.538          0               1.23294         55782.9         -3.74193        
20.2198         0.244687        28.1932         -33.1291        -0.0870942      
1.16261         -128.608        -0.724289       -0.90693        0.167922        
-1.58884        0.346732        28874.2         7713.88         -4912.51        
403.152         4912.51         30.3579         -31.8997        -0.169488       
0.208954        1110            0               250.005         0.674356        
0               0               4.75143         0.0571132       2.69414         
3               0               -0.00677171     0.00208719      -0.190348       
0.0589952       0.198781        2.8443          0               1.2084e-005     
-0.00739698     -0.0832642      0.0255389       9.56686         -3.68819e-006   
-2.14094e-006   -3.56279e-006   0.00325697      0.00547455      0.00383145      
-0.555391       0.616634        0.09933         -31.74          27.0169         
3.63865         -2.85613        0.917899        3.02783         -9.42138        
3.26623         -11.3514        2               0               0               
0.00034474      0.420173        -0.488397       0               0               
0               0               6881.72         0               0               
100             7               1               
95.973          2               1.14624         83598.1         -1.78936        
0.694741        0.00443055      34.3844         -45.158         0.435139        
3.2222          14.9315         3.11386         0.829901        -0.934998       
1.55128         -2.95457        32999.8         10480.2         -99.7463        
390.958         99.7463         35.9535         -48.3865        1.12495         
-0.308927       1110            0               250.005         0.748341        
0               0               6.40584         0.0702816       1.63798         
3               0               0.0100989       -0.0296211      0               
0               0.0578146       -3.07929        0               0.0300205       
0.00804336      0               0               11.4807         -1.0696e-006    
8.47087e-007    -1.64801e-006   0.00183673      0.00524171      0.000174905     
-0.637683       0.662791        0.218354        -41.8695        37.8831         
6.64521         0.652795        -0.00578343     -0.00578343     0.652795        
3.26623         -11.3514        2               0               0               
-0.00483062     -1.67351        0.772711        0.439281        -0.374772       
0.229158        0               0.478466        0               0               
100             7               1               
3.002           0               0.93623         25162.8         -2.46057        
23.5918         -0.0122544      -4.82532        -5.60977        -0.0178856      
0.316512        93.3565         -0.0182735      0.31157         -0.00906955     
-1.90043        0.0447576       873.978         1.55571         -6957.31        
290.552         6957.31         0.0736147       -5.65638        -0.00161249     
-0.0256905      1360            11145.7         0.00242707      0.530782        
0               0               2.72721         0.0496664       2.23663         
2.26519         0               0               0               0               
0               0               0               0               0               
0               0               0               6.35063         3.54142e-006    
1.28862e-006    6.93829e-006    -0.000513299    0.00286428      0.00613039      
-0.0125798      0.0351391       0.0059397       1.14108         -0.145903       
22.0391         1.41943         0.201157        0.201157        1.41943         
21.906          -6.21354        2               0               0               
0.000134174     0.0156345       0.0944274       0               0               
0               0               34342           0               0               
100             8               1               
78.596          0               1.23344         55752.7         -3.75315        
20.2777         0.248141        28.205          -33.2848        -0.0559848      
1.09914         -126.953        -0.659224       -0.876224       0.201795        
-1.39301        0.474384        28873.4         7736.36         -4923.81        
403.276         4923.81         30.4146         -32.1146        -0.154667       
0.201201        1110            0               250.005         0.672337        
0               0               4.73663         0.0571244       2.71103         
3               0               -0.00632276     0.00221029      -0.191434       
0.0552029       0.198782        2.86587         0               -0.00069946     
-0.00702341     -0.0843944      0.0234064       5.52698         5.74037e-006    
1.06135e-006    6.36056e-006    -0.000724134    0.00510903      0.00584098      
-0.00787309     0.413944        0.627484        4.66545         18.2408         
50.1325         -2.88131        0.835483        2.7763          -9.57456        
3.41711         -11.0225        2               0               0               
0.000725827     0.386856        -0.474585       0               0               
0               0               6881.55         0               0               
100             8               1               
96.017          2               1.14738         83762.2         -1.79936        
0.694162        0.0106707       35.003          -46.0049        0.285074        
2.55125         7.18553         2.53143         0.319038        -0.375771       
0.271166        -2.14867        32999.9         10480.4         -99.9372        
391.347         99.9372         35.825          -48.6517        0.896452        
-0.0994775      1110            0               250.005         0.735409        
0               0               6.28941         0.070524        1.94286         
3               0               0.000166406     -0.0221624      0               
0               0.0536642       -2.94221        0               0.021652        
-0.00379392     0               0               6.49289         9.16725e-006    
1.1655e-007     3.80757e-006    -0.00215601     0.00420624      0.0100869       
-0.120214       0.438715        0.684457        3.58169         25.9751         
61.4401         0.645683        -0.00306886     -0.00306886     0.645683        
3.41711         -11.0225        2               0               0               
-0.00338184     -1.30612        0.44255         0.28987         -0.16883        
0.235629        0               0.300955        0               0               
100             8               1               
3.002           0               0.936232        25163.1         -2.47086        
23.4674         -0.00741625     -4.82414        -5.62423        0.0135057       
0.315069        95.1665         -0.028231       0.312225        -0.0107214      
-1.90232        0.0343938       873.977         1.56614         -6957.28        
