1 input_9_1_1 AGM6 Test Case.asc - no wind ' AGM6 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
16.9192         -6.09138        2               0               0               
-1.49549e-006   0.0180545       7.24287e-006    0               0               
0               0               34334.2         0               0               
100             3               1               
79.055          0               1.21316         56627.8         0               
0               0               27.7012         -31.5629        -0.113418       
0.783919        -104.535        -0.19675        -0.758814       0.207746        
-1.39685        0.360322        28929           7303.42         -4873.38        
389.496         4873.38         26.812          -31.3644        -0.0480522      
0.174879        1110            0               250.005         0.677219        
0               0               4.78613         0.058854        2.78974         
3               0               -0.00703016     0.00104731      -0.207873       
0.0216448       0.208607        3.03962         0               -0.000456253    
-0.00725381     -0.0889472      0.0106192       5.24789         -9.46344e-006   
-1.32356e-006   -6.05659e-007   -0.00570063     5.73545e-005    -0.0033071      
0.0505473       0.192585        -0.516679       7.09089         13.5295         
-32.4767        -2.97711        0.369851        1.21211         -9.7569         
1.39352         -12.5496        2               0               0               
0.000360085     0.139938        -0.395442       0               0               
0               0               6886.17         0               0               
100             3               1               
97.274          2               1.09793         84491.1         0               
0               0               30.3691         -44.4805        0.133099        
3.02487         4.94476         3.01362         0.260608        -0.36571        
2.09714         -1.22239        33339.3         9760.04         -99.7628        
373.197         99.7628         30.746          -47.4957        1.08432         
-0.0940425      1110            0               250.005         0.757657        
0               0               6.49055         0.0745524       1.70132         
3               0               0.0123438       -0.0100482      0               
0               0.0571671       3.08761         0               0.00932219      
0.0131959       0               0               6.82749         -1.43461e-005   
2.3098e-006     4.59428e-006    -0.00417733     -0.00181176     -0.0118169      
0.0250777       0.212241        -0.653343       7.59976         16.6999         
-42.9278        0.661545        -0.00238881     -0.00238881     0.661545        
1.39352         -12.5496        2               0               0               
-0.00196249     -1.68791        0.292663        0.254139        -0.254083       
0.00530992      0               0.273059        0               0               
100             3               1               
3.002           0               0.929893        25030.1         0               
0               0               0               -5.7016         0.0323178       
0.0438318       -179.386        -0.0434044      -0.000465058    -0.000258878    
-1.92381        0.00138262      873.948         0.00178679      -6957.31        
290.58          6957.31         0.000260665     -5.65821        -0.00342752     
4.46615e-005    1360            11199.5         0.00242707      0.525934        
0               0               2.69398         0.0500992       2.24435         
2.24827         0               0               0               0               
0               0               0               0               0               
0               0               0               1.45036         -7.4228e-006    
-2.74912e-006   -7.48937e-006   -0.000683228    -0.000486751    0.000424288     
-0.0292552      -0.0582543      -0.0425081      1.03379         -1.52655        
-19.1725        1.41587         0.188703        0.188703        1.41587         
16.975          -6.15022        2               0               0               
-5.05589e-007   0.0169224       -0.000263136    0               0               
0               0               34334.2         0               0               
100             4               1               
79.167          0               1.21199         56220.7         0               
0               0               27.9407         -31.4861        -0.0700438      
0.872509        -108.165        -0.272018       -0.829013       0.155143        
-1.43967        0.235133        28957.9         7331.04         -4913.04        
388.923         4913.04         26.9711         -31.2114        -0.066042       
0.19008         1110            0               250.005         0.677667        
0               0               4.77474         0.0587521       2.76761         
3               0               -0.00746545     0.00078582      -0.216496       
0.017549        0.217449        3.06041         0               0.000302717     
-0.0072711      -0.0931391      0.0082998       3.58937         -7.99487e-006   
