1 input_9_1_1 AGM6 Test Case.asc  ' AGM66 ' Jan 22 2018 17:05:30
  0  0 81
time            lconv           vmach           pdynmc          VAEL1           
VAEL2           VAEL3           psiblx          thtblx          phiblx          
alppx           phipx           alphax          betax           ppx             
qqx             rrx             SBEL1           SBEL2           SBEL3           
dvbe            hbe             psivlx          thtvlx          anx             
ayx             vmass           thrust          fmasse          stmarg          
realq1          realq2          wnq             zetq            gavail          
gmax            trcond          epy             epz             thtpb           
psipb           ththb           phihb           EAHH1           EAHH2           
EAHH3           sigdpy          sigdpz          ehbe            EWBEB1          
EWBEB2          EWBEB3          EFSPB1          EFSPB2          EFSPB3          
EVBE1           EVBE2           EVBE3           ESTTC1          ESTTC2          
ESTTC3          ancomx          alcomx          all             ann             
psiobcx         thtobcx         wacl            phicomx         rrcomx          
dpx             dqx             drx             miss            MISS_P1         
MISS_P2         MISS_P3         dbt             psiplx          thtplx          
critmax         
0.0312352       -0.0470812      -0.0499047      3.23948         1.51701         
-0.740838       1.41815         0.179659        0.179659        1.41815         
21.7112         -6.30604        2               0               0               
0.00013032      0.0179744       0.09167         0               0               
0               0               34333.7         0               0               
100             3               1               
78.537          0               1.23208         55823.5         -3.37517        
19.8502         -0.0562351      26.5695         -32.9088        0.0264586       
1.09524         -124.274        -0.616598       -0.904693       0.157478        
-1.45721        0.339503        29054.7         7138.81         -4894.85        
402.488         4894.85         28.7627         -31.8295        -0.145229       
0.207289        1110            0               250.005         0.672754        
0               0               4.74164         0.0572085       2.7116          
3               0               -0.00649935     0.00234713      -0.191722       
0.0653294       0.202411        2.81758         0               -0.000166569    
-0.0066353      -0.0829955      0.0275182       8.41267         1.85288e-005    
4.13108e-006    -9.12548e-007   -0.00111456     -0.00663413     0.00314879      
0.409466        -0.605071       0.0985269       23.2905         -19.6592        
4.6087          -2.83371        0.984928        3.24914         -9.348          
4.1089          -11.3592        2               0               0               
0.000274914     0.367126        -0.481824       0               0               
0               0               6882.15         0               0               
100             3               1               
96.063          2               1.14277         83092.5         -1.52554        
0.800704        -0.2462         32.967          -44.8731        0.367005        
2.7869          5.70108         2.7728          0.276705        -0.347363       
0.48355         -2.21491        33333.7         9758.32         -99.7795        
389.725         99.7795         33.692          -47.7666        0.982062        
-0.0843521      1110            0               250.005         0.740442        
0               0               6.30605         0.0704716       1.843           
3               0               0.00159986      -0.0215339      0               
0               0.0600847       3.09338         0               0.0213298       
0.00281967      0               0               7.71245         2.10243e-005    
3.48752e-006    -2.21499e-006   -0.00278949     -0.00637154     0.00459377      
0.497456        -0.861714       0.077322        30.9667         -32.0772        
6.0687          0.654334        -0.00307079     -0.00307079     0.654334        
4.1089          -11.3592        2               0               0               
-0.00350367     -1.45429        0.409929        0.288972        -0.173556       
0.231048        0               0.406112        0               0               
100             3               1               
3.002           0               0.936229        25162.8         -2.47325        
23.4421         -0.00334869     -4.82945        -5.60982        0               
0.31894         93.3648         -0.0186331      0.316918        -0.010771       
-1.89949        0.0477491       873.978         1.56287         -6957.31        
290.553         6957.31         0.0748716       -5.65617        -0.00163811     
-0.0259797      1360            11145.7         0.00242707      0.530796        
0               0               2.72734         0.0496664       2.23641         
2.26519         0               0               0               0               
0               0               0               0               0               
0               0               0               3.07676         -2.52398e-006   
1.3314e-006     -2.19001e-006   4.10563e-005    0.001573        0.00662901      
0.0972773       0.0760594       -0.0473695      4.28077         6.10469         
-18.6467        1.41564         0.178973        0.178973        1.41564         
21.761          -6.39086        2               0               0               
0.000131402     0.0154959       0.0921746       0               0               
0               0               34333.7         0               0               
100             4               1               
78.5            0               1.23212         55927           -3.29329        
19.7222         -0.123896       26.473          -32.9737        -0.0690035      
1.13277         -124.358        -0.638906       -0.934457       0.177358        
-1.47602        0.294105        29056.4         7108.82         -4879.96        
402.515         4879.96         28.6269         -31.8782        -0.150755       
0.214974        1110            0               250.005         0.673826        
0               0               4.75342         0.0572227       2.70117         
3               0               -0.00678991     0.00231905      -0.188556       
0.0699196       0.201196        2.79205         0               -9.38534e-005   
-0.00693285     -0.0824044      0.02918         2.58344         -3.58468e-006   
1.53389e-006    -2.13301e-006   -0.000713186    0.00203121      0.00759665      
0.235591        0.102172        0.250164        22.0565         14.5284         
