TITLE SRBM Trajectory Tables Ballistic

Rocket trajectory from launch SAEL(1Km, -250Km, 0) to impact at (1000m, 6460m, 0)
1. Table: time_vs_descent_altitude
    time starting at apogee with 0 towards impact at 215 sec
	(must be loaded in increasing altitudes)
2. Table: x_vs_launch_time of rocket
    North component
3. Table: y_vs_launch_time of rocket
    East component
4. Table: z_vs_launch_time of rocket
    Down component

XCEL Notes:
	Invert column from smallest to largest: -> right click -> sort -> ...

1DIM apotime_vs_descent_altitude
NX1 216  //time since apogee in sec vs descent altitude in meter
333	-72052.8
334	-71435.7
335	-70818.5
336	-70201.3
337	-69584.2
338	-68967
339	-68349.8
340	-67732.7
341	-67115.5
342	-66498.4
343	-65881.2
344	-65264
345	-64646.9
346	-64029.7
347	-63412.5
348	-62795.4
349	-62178.2
350	-61561.1
351	-60943.9
352	-60326.7
353	-59709.6
354	-59092.4
355	-58475.3
356	-57858.1
357	-57240.9
358	-56623.8
359	-56006.6
360	-55389.4
361	-54772.3
362	-54155.1
363	-53538
364	-52920.8
365	-52303.6
366	-51686.5
367	-51069.3
368	-50452.1
369	-49835
370	-49217.8
371	-48600.7
372	-47983.5
373	-47366.3
374	-46749.2
375	-46132
376	-45514.8
377	-44897.7
378	-44280.5
379	-43663.4
380	-43046.2
381	-42429
382	-41811.9
383	-41194.7
384	-40577.5
385	-39960.4
386	-39343.2
387	-38726.1
388	-38108.9
389	-37491.7
390	-36874.6
391	-36257.4
392	-35640.2
393	-35023.1
394	-34405.9
395	-33788.8
396	-33171.6
397	-32554.4
398	-31937.3
399	-31320.1
400	-30702.9
401	-30085.8
402	-29468.6
403	-28851.5
404	-28234.3
405	-27617.1
406	-27000
407	-26382.8
408	-25765.7
409	-25148.5
410	-24531.3
411	-23914.2
412	-23297
413	-22679.9
414	-22062.7
415	-21445.6
416	-20828.4
417	-20211.3
418	-19594.1
419	-18977
420	-18359.9
421	-17742.8
422	-17125.7
423	-16508.6
424	-15891.5
425	-15274.5
426	-14657.5
427	-14040.5
428	-13423.6
429	-12806.7
430	-12189.9
431	-11573.2
432	-10956.5
433	-10340.1
434	-9723.72
435	-9107.57
436	-8491.67
437	-7876.07
438	-7260.85
439	-6646.13
440	-6032.05
441	-5418.8
442	-4806.63
443	-4195.86
444	-3586.96
445	-2980.49
446	-2377.2
447	-1778.06
448	-1184.31
449	-597.563
450	-19.8435
451	546.345
452	1098.06
453	1631.98
454	2144.47
455	2631.82
456	3090.56
457	3517.98
458	3913.12
459	4276.14
460	4607.55
461	4908.4
462	5180.36
463	5425.18
464	5644.9
465	5841.82
466	6018.19
467	6175.89
468	6316.81
469	6442.78
	
1DIM z_vs_launch_time
NX1 216  //z-coordinates in meter vs time since launch in sec, 
254	-199245
255	-199240
256	-199224
257	-199200
258	-199166
259	-199124
260	-199072
261	-199010
262	-198940
263	-198860
264	-198771
265	-198673
266	-198565
267	-198448
268	-198323
269	-198187
270	-198043
271	-197889
272	-197726
273	-197554
274	-197373
275	-197182
276	-196982
277	-196773
278	-196555
279	-196328
280	-196091
281	-195845
282	-195589
283	-195325
284	-195051
285	-194768
286	-194476
287	-194174
288	-193863
289	-193543
290	-193214
291	-192876
292	-192528
293	-192171
294	-191805
295	-191429
296	-191044
297	-190650
298	-190247
299	-189835
300	-189413
301	-188982
302	-188541
303	-188092
304	-187633
305	-187165
306	-186687
307	-186201
308	-185705
309	-185200
310	-184685
311	-184161
312	-183628
313	-183086
314	-182534
315	-181974
316	-181403
317	-180824
318	-180235
319	-179637
320	-179030
321	-178413
322	-177788
323	-177152
324	-176508
325	-175854
326	-175191
327	-174519
328	-173837
329	-173146
330	-172446
331	-171736
332	-171017
333	-170289
334	-169552
335	-168805
336	-168049
337	-167283
338	-166508
339	-165724
340	-164931
341	-164128
